year,month,rate,,,,,,,,,,,,,,,,,,,
2000,January,350.834700,,,,,,,,,,,,,,,,,,,
2000,February,360.199000,,,,,,,,,,,,,,,,,,,
2000,March,364.081230,,,,,,,,,,,,,,,,,,,
2000,April,367.328895,,,,,,,,,,,,,,,,,,,
2000,May,375.893605,,,,,,,,,,,,,,,,,,,
2000,June,380.487341,,,,,,,,,,,,,,,,,,,
2000,July,392.215170,,,,,,,,,,,,,,,,,,,
2000,August,404.805141,,,,,,,,,,,,,,,,,,,
2000,September,411.838925,,,,,,,,,,,,,,,,,,,
2000,October,416.639300,,,,,,,,,,,,,,,,,,,
2000,November,426.137648,,,,,,,,,,,,,,,,,,,
2000,December,429.792832,,,,,,,,,,,,,,,,,,,
2001,January,432.244100,,,,,,,,,,,,,,,,,,,
2001,February,434.251600,,,,,,,,,,,,,,,,,,,
2001,March,434.281300,,,,,,,,,,,,,,,,,,,
2001,April,436.496600,,,,,,,,,,,,,,,,,,,
2001,May,439.103100,,,,,,,,,,,,,,,,,,,
2001,June,440.438900,,,,,,,,,,,,,,,,,,,
2001,July,443.436400,,,,,,,,,,,,,,,,,,,
2001,August,441.904200,,,,,,,,,,,,,,,,,,,
2001,September,445.999300,,,,,,,,,,,,,,,,,,,
2001,October,452.644100,,,,,,,,,,,,,,,,,,,
2001,November,457.127000,,,,,,,,,,,,,,,,,,,
2001,December,458.923100,,,,,,,,,,,,,,,,,,,
2002,January,456.809700,,,,,,,,,,,,,,,,,,,
2002,February,459.703800,,,,,,,,,,,,,,,,,,,
2002,March,461.565400,,,,,,,,,,,,,,,,,,,
2002,April,463.274100,,,,,,,,,,,,,,,,,,,
2002,May,466.392200,,,,,,,,,,,,,,,,,,,
2002,June,468.995800,,,,,,,,,,,,,,,,,,,
2002,July,470.047500,,,,,,,,,,,,,,,,,,,
2002,August,480.624360,,,,,,,,,,,,,,,,,,,
2002,September,484.464700,,,,,,,,,,,,,,,,,,,
2002,October,488.746100,,,,,,,,,,,,,,,,,,,
2002,November,496.542200,,,,,,,,,,,,,,,,,,,
2002,December,507.019450,,,,,,,,,,,,,,,,,,,
