code,name
11AB,AKANYARU-BAS
11AH,AKANYARU-HAUT
11BU,BUTARE
11BZ,BUZIBA
12BA,BUHITA
41BU,BUGARAMA
41BW,BWEYEYE
11GA,GATUNA
11GI,GIKONDO
11GT,GATSATA OIL DEPOTS
11JB,JABANA
11KA,KAGITUMBA
11KB,KABUYE OIL DEPOTS
33KA,KABUHANGA
12KN,KANIGA
11NS,NSHILI
11RD,RUNDA
11RE,RUTETE
11RS,RUSORORO
11RU,RUSUMO
13RO,RWABUSORO
12RW,RWEMPASHA
11SDV,SDV ICD
41KI,KIBUYE
12KP,KIGALI-POSTE
21KA,KIGALI-AEROPORT
22AE,AEROGARE-KGL
31CY,CYANIKA
31GC,GISENYI-CORNICHE
32PL,GISENYI POIDS-LOURDS
32RB,RUBAVU INLAND OFFICE
HQ01,CUSTOMS HEADQUARTERS
41CY,CYANGUGU
41MT,MUTARA
13MU,MURAGO
41MU,MURURU
41RU,RUHWA
41RZ,RUSIZI INLAND OFFICE
BISCT,BURUNDI SINGLE CUSTOMS OFFICE
KEMBA,MOMBASSA PORT OFFICE
KENBI,NAIROBI OFFICE
KESCT,KENYA SINGLE CUSTOMS OFFICE
TZDL,DAR ES SALAAM PORT OFFICE
TZSCT,TANZANIA SINGLE CUSTOMS OFFICE
UGKLA,KAMPALA OFFICE
UGSCT,UGANDA SINGLE CUSTOMS OFFICE
41KA,KAMEMBE AIRPORT
1101,GASENYI
1102,NYIRAGISEKE
1103,RUGARAMA
1104,SHAMI
1105,RUHARAGWE
1106,NEMBA
1107,KAGANO
1108,BURENGE
11BB,BBF RUSUMO
11BT,BUS TERMINAL
11DP,DOUBAI PORT WORLD
11KI,KIYANZI OFFICE
11PB,PRIVATE BONDED WAREHOUSE OFFICE
11SD,11 SDV
1202,MITAKO
1302,GATABA
1304,KARAMBO
1305,KARERE
1306,KAVU
1307,KAZAZA
1401,KU MISAVE
1402,NYAGATABIRE
1403,NYAMIYONGA
1405,RWENTANGA
1406,KAZAZA II
1501,NDEGO
1601,JARAMA
1602,GAHARA
2103,MURWA
2104,KANYENZUGI
2105,NYAMICUCU
2106,NYAGAHINGA
2107,KAGOGO
2108,KINYABABA
2109,BUSHENYA
2203,NYAKAGERA
2204,GASHENJE
2206,MUSHUMVA
2207,RUBAYA
3102,ICYAMBU CYA MUSIBYA
3103,UMUBANGA
31BB,BBF
31GD,GOMA DUTY FREE
3202,BUKINANYANA
3203,KUMWOGERE
3205,NTARUKA
3206,KWISHYAMBA
3207,UMUKATO
32MA,MATRIX MANUFACTURING AND TRADING
4101,RUGANDA
41DP,DUBAI PORT WORLD RUSIZI
41IT,INTER TRADE WAREHOUSE OFFICE
41KV,KIVU WAREHOUSE OFFICE
4201,KIRAMBO
4202,RUGARI
4203,MUGONERO
4204,NYAMITAKA
4205,NTENDEZI
4301,BRASSERIE-GISENYI
4303,GASIZI
4304,GITOTOMA
4404,HEPFU
4407,BUDIKE
4408,GISHOMA
4501,NKORA
9999,OFFICE UNSPECIFIED
BISC,SCT
KEKS,KISUMU
KEMB,KENYA MOMBASA
KESC,KE INTRA-REGIONAL
UGKL,KAMPALA
UGSC,UG INTRA-REGIONAL
